timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688364162763,303,Create fb-TC_AM_A_01-To verify feedback creation with all valid inputs,200,OK,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,533,385,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,303,0,116
1688364163114,126,Get_Feedback,200,OK,Create_feedback 1-1,text,true,,493,252,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks/1123,126,0,0
1688364163241,163,Delete feedback,200,OK,Create_feedback 1-1,text,true,,331,274,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks/1123,163,0,0
1688364163406,261,Create fb-TC_AM_A_02-Verify feedback creation by passing empty payload ,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,341,267,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,261,0,118
1688364163672,356,Create fb-TC_AM_A_03-Verify feedback creation with missing subject field,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,333,362,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,356,0,213
1688364164033,364,Create fb-TC_AM_A_04-Verify feedback creation with missing content field,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,333,355,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,364,0,159
1688364164403,403,Create fb-TC_AM_A_05-Verify feedback creation with missing userID field,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,332,334,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,403,0,198
1688364164808,408,Create fb-TC_AM_A_06-Verify feedback creation with missing rating field,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,356,372,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,408,0,203
1688364165222,404,Create fb-TC_AM_A_07-Verify feedback creation by passing extra field in payload ,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,357,420,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,404,0,199
1688364165631,240,Create fb-TC_AM_A_08-Verify feedback creation when subject field value is null ,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,337,378,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,240,0,111
1688364165876,260,Create fb-TC_AM_A_09-Verify feedback creation when content field value is null ,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,337,371,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,256,0,119
1688364166140,230,Create fb-TC_AM_A_10-Verify feedback creation when user ID field value is null ,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,336,348,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,230,0,111
1688364166375,286,Create fb-TC_AM_A_11-Verify feedback creation when rating field value is null ,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,356,386,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,286,0,158
1688364166666,285,Create fb-TC_AM_A_12-Verify feedback creation by passing duplicate field value and verify response ID ,200,OK,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,533,385,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,285,0,114
1688364166955,207,Get_Feedback,200,OK,Create_feedback 1-1,text,true,,493,252,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks/1124,207,0,0
1688364167163,176,Delete feedback,200,OK,Create_feedback 1-1,text,true,,331,274,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks/1124,176,0,0
1688364167340,234,Create fb-TC_AM_A_13-Verify feedback creation by passing integer value in subject field,400,Bad Request,Create_feedback 1-1,text,true,JSON payloads match and regular expressions match,337,381,1,1,http://app-management.impressicocrm.com:32295/am/api/v1/feedbacks,234,0,114
