timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693568614582,1234,Create fb-TC_AM_01-To verify feedback creation with all valid inputs,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /200/,651,381,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,1234,0,1175
1693568617085,171,Create fb-TC_AM_02-Verify feedback creation by passing empty payload ,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,263,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,171,0,121
1693568617265,198,Create fb-TC_AM_03-Verify feedback creation with missing subject field,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,358,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,198,0,144
1693568617469,178,Create fb-TC_AM_04-Verify feedback creation with missing content field,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,351,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,178,0,122
1693568617665,211,Create fb-TC_AM_05-Verify feedback creation with missing userID field,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,330,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,210,0,155
1693568617928,193,Create fb-TC_AM_06-Verify feedback creation with missing rating field,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,368,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,193,0,141
1693568618126,210,Create fb-TC_AM_07-Verify feedback creation by passing extra field in payload ,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,416,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,210,0,134
1693568618354,185,Create fb-TC_AM_08-Verify feedback creation when subject field value is null ,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,374,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,185,0,134
1693568618547,212,Create fb-TC_AM_09-Verify feedback creation when content field value is null ,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,367,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,212,0,158
1693568618769,194,Create fb-TC_AM_10-Verify feedback creation when user ID field value is null ,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,344,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,194,0,142
1693568618968,193,Create fb-TC_AM_11-Verify feedback creation when rating field value is null ,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,382,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,192,0,137
1693568619174,172,Create fb-TC_AM_12-Verify feedback creation by passing duplicate field value and verify response ID ,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /200/,651,381,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,172,0,123
1693568619350,177,Create fb-TC_AM_13-Verify feedback creation by passing integer value in subject field,401,Unauthorized,Create_feedback 1-1,text,false,Test failed: code expected to match /400/,651,377,1,1,https://app-management.impressicocrm.com/am/api/v1/feedbacks,176,0,127
